source,target
9708374,9612376
9602378,9511385
203120,9703278
105027,9909250
211012,204202
9808245,9802304
4065,9512332
9810278,9611206
111144,2046
9906224,9801375
11292,9801219
9604406,9410283
7357,1177
9806424,9411372
109077,9511397
202178,6262
301176,9902273
9411278,9309310
9512398,9209232
9802363,9711489
101081,9711280
107068,9808455
9501351,9306212
9711308,9601310
10040,9811253
9705372,9603264
9807392,9412327
9812360,9602295
106177,9903282
9708432,9307261
204315,104091
105171,9205228
9709270,9504204
203056,6122
9911429,9703353
301257,9903481
2065,9801330
4176,9803473
9110,9603202
9903366,9704423
9710462,9705221
9806301,9710335
9502318,9405429
9909229,9503330
9707234,9607341
9905468,9708352
108172,9807310
107006,9608352
211467,107081
301075,9912266
9708339,9704355
210066,202269
210104,9408344
9809403,9710443
9810549,9806303
108206,9306207
210317,108240
9608221,9403307
9910392,9512388
11271,9707284
12269,9512380
9611217,9502397
9902358,9807305
9809517,9603420
9808360,9511315
106082,9712307
102066,7092
9809370,9708491
9605385,9602404
3134,9210253
12017,2149
109149,104122
6245,9307242
104115,9401219
9902274,9408214
9305316,9207253
9608477,9507299
302102,212020
9707458,9702378
202257,104041
107325,9906206
9802334,9310320
9709301,9602364
208043,9809435
212320,9706273
9701278,9303284
106203,9701238
202076,9906233
5136,9408384
301033,9812201
11074,9802387
3032,9712222
210286,9703442
208237,9503266
210188,106247
203069,9709395
9705237,9411258
108145,9810408
9702431,9501298
212270,212212
9319,9812260
6137,9812273
9810252,9806287
9507446,9310319
111080,2001
209222,204286
9805227,9509263
9908433,9908289
9702295,9606467
209208,9704423
9706504,9603400
9262,9306306
9908389,9405237
9707395,9511288
9705248,9703266
8018,9307218
8224,9606280
9803278,9712551
9706337,9305304
110325,9803389
5136,9510204
9901387,9611258
103331,9903385
9708333,9307269
9503395,9502345
212391,111047
9603346,9307201
9904315,9610400
103030,9805420
9707201,9504307
9712481,9607332
205031,9307356
7139,6049
103064,103012
209341,7108
9324,9906475
110341,104034
9810435,9808270
202240,6200
7017,9706260
109119,105303
9708250,9603310
109125,9911370
104110,103211
9311282,9304269
9706462,9705240
9711288,9608323
1002,9503443
9806310,9408215
201146,103217
211335,9612424
9906335,9207221
9801451,9705386
106050,9501281
204031,9704448
5185,9712542
9701280,9508393
9912447,9612260
201186,108157
9311259,9304281
207349,7355
202240,103219
209119,9212271
9506287,9408219
9605378,9401238
208229,9503205
7220,9712254
9802299,9411338
106278,9506425
9511230,9510352
9809497,9506270
9606308,9606239
9906245,9511463
9906488,9903441
9810481,9806439
9411359,9303248
211080,7294
1134,9904278
9810512,9412305
210414,203212
9705281,9509322
206130,9903358
9403330,9401238
9908372,9905337
9407226,9403254
9606447,9604343
9810441,9408346
9805480,9510213
9805484,9803382
9710488,9407339
9703250,9612426
3033,9703463
9705356,9609357
9909274,9802218
209263,207015
9601222,9508338
9711253,9612479
9803440,9801431
9910516,9712537
9911478,9906218
9903502,9810509
211360,201071
9902360,9406287
110126,9911421
9709454,9609460
9805461,9612495
9904380,9811501
9810323,9805250
8280,9903246
9807449,9507299
9907460,9605235
204062,9411290
12170,9904296
9902452,9609302
9912359,9412334
102058,9811308
9908217,9710367
9409292,9408312
9312231,9212285
9704376,9507267
9510323,9507262
10174,9902256
210053,9909248
211011,11385
6233,9911289
9601269,9207269
9702260,9303241
11078,5274
211453,202049
2047,9411302
210241,206272
204160,9610394
9703327,9610345
9605268,9507424
103058,3246
9911272,9608276
9803479,9701393
105037,103182
9906378,9402231
9906549,9811428
3033,9611397
9911250,9704376
207233,6212
106278,7190
9903328,9712222
9709454,9607309
9356,8012
302054,110001
9406264,9302233
9281,3105
9601372,9510327
9910257,9806471
9806471,9507262
107127,9510284
9803426,9705245
9904475,9703349
212346,9802204
9610219,7149
108144,9405425
211197,9501281
9802426,9702339
9701421,9503450
207261,9410240
9512374,9302246
9804237,9610247
206276,9904395
9604376,9503208
107180,105325
207005,9403400
12348,9911476
109154,102187
9609396,9211237
210005,9304225
1246,9901337
9804283,9504406
9606280,9310257
6299,9704415
9606440,9509393
302073,104200
9906383,9301232
9711327,9407338
12346,9707342
206148,9808410
9709463,9505259
9801231,9605456
9810393,9608205
9607397,9505428
9801445,9508343
9605336,9506210
7242,9612313
205104,9909435
112209,11055
6054,9509361
9905388,9610229
207031,9807513
9611389,9409285
208025,9905291
210198,204166
101249,9810457
9907255,9903448
11069,9401328
9811460,9805343
9801431,9302316
9904276,9806279
104280,9602281
9812449,9409455
5123,9802238
7320,5303
9711472,9405377
9912284,9901331
210287,205097
9704402,9701231
9407254,9404342
9903472,9503438
106107,9802445
207041,9802358
9804231,9709292
9907236,9906377
9406239,9302244
212246,9701364
9906493,9906286
105028,9709356
209135,9410237
6067,9703327
212194,9907432
9602267,9408310
207101,101336
9602412,9502279
9707496,9406407
104062,9711217
302006,204004
9911321,9702337
203237,203051
9901284,9605456
9906456,9903454
9710542,9602351
204240,102344
9907296,9902312
102051,9511272
208125,107057
9810260,9708356
9811466,9807241
301107,202202
9712480,9509349
2157,9508347
7261,9509286
106203,104111
205292,9905487
9907365,9303270
206216,202270
203271,104033
9710379,9504277
9908208,9811350
9909489,9812448
111128,9708488
9904301,9612442
9908243,9907286
9908244,9504379
9308314,9207242
9910466,9807209
9809533,9809341
9712325,9606219
9903264,9703379
302038,212175
9504276,9406359
107278,105063
5044,9701227
109051,9811275
5303,9908326
9909425,9811390
9707299,9702344
2215,9512220
8008,9911233
9704276,9501379
107305,9308336
201142,2267
9703448,9403390
11132,9804398
9805356,9507319
211169,9302225
9410321,9310379
9909235,9412334
8091,9902338
6209,9806404
9909405,9704326
9805482,9407291
202101,111058
3139,9904297
207010,9404276
106111,9508280
205076,105260
9909457,9806442
211117,111053
210088,208141
9503241,9407304
11005,9803366
9157,9904394
9510362,9502213
9812377,9606233
9910397,9803445
9804319,9410406
104082,9901331
212092,207070
9609475,9512369
9812332,9811313
109217,9801271
209280,2044
9810241,9609379
12308,9501265
210093,2060
9506444,9411353
9910395,9705442
103182,103054
2242,9912366
5244,9606295
9408294,9208221
111065,9510309
9704267,9310261
112023,9610456
9406323,9403353
110046,9910550
201291,9904247
110038,108179
7204,9608266
8223,9601337
9909275,9812225
9807280,9612446
210234,103108
9912395,9705442
9703288,9408250
3251,9808301
9907294,9902437
203167,7056
2268,9208213
9911235,9904472
9811506,9707316
6143,9411426
211335,9907414
9808406,9612269
9911245,9809438
112302,106084
107097,9903340
206080,204314
205244,204092
11363,9504232
9906265,9812387
301261,9809549
9505359,9402241
10178,5280
108101,9901220
212086,104291
9503376,9401254
9712489,9408389
9804253,9704376
9901427,9611451
9803343,9702358
5210,9711387
7286,9612402
101105,9709356
1109,9505412
212099,9609445
5233,9809480
9505384,9306205
203237,201250
2076,9905242
5159,9502252
9603341,9403291
9701322,9204214
9901269,9809543
301181,9501366
12007,9907523
6170,9506375
9610298,9507366
9912321,9908288
101139,9902452
112305,9908371
202037,9812510
204296,105348
4129,9907272
9502273,9502224
9807494,9405304
8177,9802314
108224,9607365
205001,203079
9705440,9610208
212354,204358
9803340,9403251
202185,9808468
9902431,9805430
9803306,9706339
2041,9404302
9909406,9204238
9503210,9403364
2287,9909315
101309,9705248
9609441,9606431
10304,9909560
9903533,9806491
9712507,9404277
206101,9803277
109127,1002
110080,9903520
9912260,9407389
9087,9306333
106301,9707251
9910215,9811447
211113,201195
210339,10003
203150,9909324
111199,9702343
9801388,9704406
1058,9804425
9609414,9602400
9706531,9703373
9806475,9601233
207141,1227
9905407,9801206
104134,9912352
1323,9703246
1146,9806255
9912211,9812381
9503348,9211262
302248,201001
201244,106081
3320,9607431
9905548,9706206
302248,205141
9907452,9807327
201299,201006
9508342,9309310
105182,9609331
9911463,9703266
9909379,9909229
9503302,9312213
9405318,9209248
9902468,9505326
9410413,9407255
112230,9806292
9905308,9904244
211434,1192
9511208,9306298
9805244,9603205
9809262,9709301
9504206,9304263
212299,9611449
9901352,9804352
202205,9608317
9905476,9810553
9709285,9506380
107100,9302227
105150,1095
9810292,9512203
9904246,9403310
110302,9812370
301095,9403364
207022,202157
2141,9908499
9609430,9412393
9287,9212278
11355,9609357
9805472,9703288
9610267,9311260
9805239,9804407
212391,9205238
9701313,9401204
10063,9510301
2238,9511342
201014,9207234
9172,9912409
9910245,9904434
302043,9511333
105011,7208
204093,9811492
212136,102144
12304,9901304
9299,9605273
106282,9904229
12354,10240
212002,110032
203166,3032
9605445,9503375
9912529,9912279
102089,9706520
9904248,9901350
9606351,9605357
110119,9812282
106204,9607292
9706391,9207245
9708250,9705444
9811285,9606443
212361,105194
9803351,9404270
103343,7315
107179,9807340
204186,9610411
9503262,9212203
102009,9701229
106351,9611251
10296,3203
101350,11353
6110,9704277
8272,9306320
1274,9610259
202204,12145
9709291,9703353
9707238,9501376
207354,9612437
109026,9199
207087,9410230
9606235,9308210
9611328,9410404
9510441,9308333
11174,9909204
108070,12075
9804372,9611353
201111,9706486
9510271,9406368
3097,9811253
9506217,9311277
5227,9908371
9912547,9907221
110325,9701284
9905275,9310320
202058,111150
9711437,9610467
9906420,9405410
9809399,9511314
9702408,9609377
9601326,9501222
9501366,9403273
9610300,9511327
9709292,9208251
9804201,9706449
205312,206135
11263,9806387
9611316,9301281
107165,9802299
9411248,9303273
9609514,9404240
9909217,9808296
3020,9810322
103091,9712299
9911465,9812273
207108,9310311
7031,6321
207004,9405388
205023,107086
9903355,9907240
5238,9902420
109254,9405355
301276,212126
7174,1086
212086,103119
110169,9309289
9612251,9610334
12333,9807552
9509433,9508268
202094,9809521
9704299,9412311
101080,9912379
206258,202171
109281,9812212
9801228,9704412
9807460,9410405
9602290,9403227
302270,9903476
206226,9411365
9902311,9603448
112008,8151
107053,9603272
10283,9803266
8268,9803310
111362,9706377
204101,9411308
9510308,9408384
207233,9703420
208259,204253
202242,111165
9811353,9805217
9706447,9503236
207340,9254
9708386,9505391
9505252,9403358
202223,108268
9812489,9809582
207204,7362
5027,9210272
9606388,9406397
9912287,9910456
9906478,9904353
9810276,9607245
5293,9911294
212380,9409313
9912505,9610396
9709509,9607275
111262,103197
9710555,9710268
205038,5064
9906528,9703298
9807453,9804281
206195,12143
9712528,9610532
9801269,9707318
104242,102180
207365,201301
9804296,9310242
108181,108090
210204,105064
209077,107291
9705341,9606231
9811492,9607379
108138,9904378
210339,208112
9504410,9306298
9410369,9406345
9407273,9303202
109197,9911206
9807243,9804290
209192,9411299
108148,9512378
9706540,9507378
3215,9501304
9907222,9612447
9811458,9611437
102324,9904393
9903439,9903306
105269,9604370
9609241,9507393
9607233,9508412
9905215,9904444
9812533,9702433
202012,3042
301082,208078
9401345,9305229
207299,9905308
211282,108096
9809477,9809273
209316,9907512
9806328,9509327
9903439,9807528
110232,102235
205159,102014
210142,9907518
111171,9407339
9708266,9508347
9605387,9303282
109169,9306320
9906337,9506333
9612209,9609488
9510208,9504263
111334,9909411
7176,9704231
9906517,9504383
111121,9807326
9606286,9302246
105040,12364
205172,110047
9602261,9409380
5327,9905357
9908220,9807236
207140,112191
103324,9903402
106347,9803473
9811335,9711469
9912494,9810500
9702365,9609385
211040,205015
9612488,9503228
11289,9803241
203080,9408384
9903303,9408234
9805396,9707240
9709433,9311290
9512325,9503204
9801269,9604376
2266,9908366
9605387,9301285
204205,9505219
112353,9906209
9507336,9309228
9909454,9508365
9602347,9510238
103269,9129
9701231,9602364
212357,9411217
211049,9804403
9905329,9509398
12383,9711396
5293,9812489
3033,9809451
9612464,9609434
210320,102323
9712464,9506328
9903433,9704355
9407204,9305319
9511470,9407248
9607290,9509348
9703338,9308335
9510403,9308264
209174,203059
201156,112102
9906446,9408406
9901330,9504413
9907516,9808415
9706549,9601268
201071,9508255
9811275,9807443
9312281,9301218
9221,9507353
211311,207310
11153,6014
203237,103062
9912463,9607388
9802357,9610231
9905471,9603420
5084,9711266
9311296,9203203
9612349,9603314
9407306,9305278
107199,9405341
302004,101208
1296,9904292
9506357,9311376
9811316,9802252
9601208,9406390
9308223,9302220
101127,9409335
104114,9911406
9410231,9403330
6035,9911541
9501388,9411411
208209,201206
9908241,9706507
9910501,9408382
209132,9906255
9604303,9412215
9611451,9503463
9906267,9904370
9701353,9310208
209101,9702216
9505272,9502238
301243,9706534
202156,9901357
108048,105087
210236,9905214
8237,9902371
9610283,9401277
210098,9810322
204068,102017
301110,110032
9603263,9401255
211154,9710509
209305,11373
210038,10338
9711213,9503328
301128,9805215
10079,7334
211103,5275
12046,9412390
208043,105295
201036,9612236
9606427,9605357
9807396,9607440
201065,9908412
210138,105196
9903375,9402337
9704275,9703311
110292,9903282
9807278,9207245
208061,112274
9910562,9408299
8268,9512421
9701424,9505355
9710415,9601376
106090,9902327
9608430,9601383
9906362,9810471
104276,101347
9410300,9211304
105196,9607437
9810392,9406227
3111,1087
9705327,9502329
9217,4044
9806299,9602378
211122,9806292
203056,9811291
5272,9702376
107088,11146
206122,202158
102204,9803384
208138,9912261
9710543,9609481
206114,101051
6296,9801226
2023,9812375
202199,9808312
207123,110177
9901400,9806426
212378,9711344
9808492,9702235
9708322,9501375
9412381,9304276
9811489,9906233
9911369,9908237
9706307,9303230
9912211,9905320
9803476,9705444
301170,9905237
9807319,9806328
7344,9502224
201226,110126
8108,2132
6180,9609375
206096,9408384
301095,9510309
102299,9802308
10339,9806282
9907343,9803473
103026,9812360
9911224,9805343
209158,102090
9512336,9505397
9603336,9505304
203211,9704333
101336,9405288
9904225,9808470
9708437,9703288
209175,9811448
102327,9810360
9811363,9607383
9812275,9401219
110056,107139
9702359,9601243
201165,9402214
9811334,9808287
9911244,9909375
212148,211239
9903482,9406245
203223,109287
9901264,9802308
204282,9704267
302168,9206205
9909403,9612236
203158,9704423
209177,9909506
9512395,9503492
6014,9403311
204268,9612449
302237,9808293
206193,202095
9904460,9304225
9807253,9406319
205334,9908318
3173,9910498
9903408,9505353
9604438,9403266
302078,9908219
9606269,9405368
201278,9707392
9606238,9512369
9807253,9706385
3236,9911293
9809481,9805272
105343,9811473
9811319,9210228
9703417,9702282
9910295,9602225
107187,9701390
104232,4056
9812366,9502308
9901328,9804295
301052,9907567
9606438,9605266
5250,9511228
210013,9609258
9508365,9507462
9907468,9401298
9806400,9505334
6353,9510235
9402299,9308215
101105,9403307
206072,9810533
9808454,9605281
9501353,9210260
9812294,9412334
9712505,9610450
9407344,9203222
9511230,9504208
9703343,9604220
201036,9904440
9609446,9307311
208028,9810442
6206,9602323
206062,9501245
110270,9810442
5142,9711417
9143,2237
301093,111193
210115,208189
9804310,9510367
9801402,9702326
11239,9606454
9907365,9905441
9709376,9411372
207147,9605281
9810436,9211309
2121,9710354
208103,109064
103243,9606423
8232,9612232
106091,9406422
203090,5313
301276,102320
205026,9909334
102158,8318
4059,9710356
207183,9911434
7017,9212203
211302,9606398
9505341,9208231
110357,9610325
2150,9403338
111366,9503210
105137,9906209
109197,9607214
209146,112117
9702431,9307322
207013,3129
9601369,9211248
6157,5007
210142,205230
9311278,9203203
9612367,9409326
9702312,9512252
9904391,9808264
9903492,9606423
11227,9603413
9511453,9303294
9905237,9806280
9911213,9607265
11164,9804209
207108,9902395
9405245,9309293
209358,9709492
212406,109079
103295,9603249
9801273,9608491
212162,106067
12203,9811504
9811428,9807522
212303,9609202
9812209,9503263
9806402,9606216
7059,9903206
9806219,9310253
9910215,9704278
9712470,9707355
7177,9807344
112035,12177
9807205,9507445
201146,9809427
9911334,9707426
9811386,9711402
9709355,9403394
10326,9902239
11337,9903453
301233,9704453
9510308,9507358
9905252,9811316
9312354,9305306
9703428,9601324
9902371,9607292
9712244,9711428
9806273,9612468
10212,9810409
9711407,9611374
8331,9407404
107316,9303270
9809487,9602236
9703337,9406354
9804420,9702291
9505266,9411207
205246,9807339
9912425,9408407
202122,9901404
9306296,9305274
9810482,9705440
102322,5049
9222,9809371
9908420,9903543
9811284,9808275
10041,9908317
12162,9805403
9904259,9606226
204324,3274
9905500,9901299
101181,9812256
108242,12308
208211,10117
212260,204004
110220,8074
1080,9807448
210311,203248
9705267,9305215
207080,4208
103198,9404357
6184,9903282
1154,9809465
210076,108105
102196,9195
205212,9609395
9912461,9305269
9811416,9810390
9709248,9706485
102266,101152
6030,9803481
9910457,9511388
202006,9808293
209356,9303281
9806231,9512336
110189,106149
9808355,9605377
112203,9910365
7161,2108
9804259,9505340
9604440,9302210
2041,9511386
206077,110283
9804322,9207278
110032,2213
102288,9805272
8334,2108
110128,9805416
105311,101103
9804328,9503280
9805214,9706238
8330,9901357
109066,9302225
9406276,9308232
9902426,9412255
101035,9041
10161,8214
212326,207227
201276,9802357
4130,9804364
211087,207168
7298,9909222
9903476,9805448
111053,9903477
9907460,9611227
103060,9602296
7333,9310236
9610385,9311339
9912519,9906395
9904404,9309289
9905577,9811378
9810387,9512378
9706397,9404201
103102,9806491
205031,111315
109253,9609481
10272,9604383
11250,9708426
8236,9509308
7075,9802387
7313,9308349
212237,111276
12153,4114
1077,9711206
4065,9903387
9605365,9211296
9404314,9205221
9910318,9603249
201205,106308
9609324,9512380
106057,9911233
4213,9409313
203276,9801297
211367,111098
9806346,9706438
9504299,9801208
9705205,9503394
9604208,9209263
9509329,9308349
212123,9311205
11233,8145
207082,9801326
202275,110332
9805240,9702214
210241,9902381
9601349,9601276
211266,110307
9902440,9603204
9903490,9608231
105124,9907521
9903325,9808309
302275,209084
102047,1095
9906341,9609434
9711263,9408262
9905292,9801416
208100,9902371
9611240,9604351
9906416,9512252
209006,9904413
1101,9903329
301207,210383
9802356,9605215
1125,9406271
106270,101273
9506419,9209258
301273,211107
9401201,9212229
9605263,9402321
301074,9712534
9412294,9401258
10317,9904420
5069,9702318
1308,9611253
1310,9811379
9311218,9207236
102250,9606402
110362,9804235
302246,9807344
9909369,9602232
9902469,9604296
110233,102160
9606410,9407339
201150,2268
9610216,9608364
9608336,9506283
9807223,9706417
111262,9501357
208245,203145
204211,204061
212304,207036
212377,204094
205037,9311205
7161,9909425
203126,103125
204136,106023
9903428,9711454
9607443,9402288
9604251,9205234
208062,9206242
205160,9809223
9711473,9704221
9505350,9205237
107329,9604387
9712301,9612454
9910275,9605408
203117,111418
9701303,9506357
9806211,9403256
9709376,9708349
105144,9804262
206077,9402333
212173,9801268
9506278,9406368
6036,9904367
9510235,9505422
110062,9905376
9503271,9303274
9903257,9402266
9702359,9611277
9608382,9303279
9908271,9812289
105145,103007
9604265,9601337
9707514,9605317
9909523,9905487
9807465,9701368
9611260,9210265
9610340,9606215
5303,9303270
9810270,9606314
207231,9306332
9607254,9405250
9907281,9904420
209102,104010
9903288,9510346
111431,103080
9805276,9411375
9812282,9807310
208222,102125
8248,9708456
9404330,9310286
9901240,9605435
109279,9605239
9612321,9605398
212361,9811410
206279,9606337
205220,102334
9705438,9312203
12167,9509286
9506406,9408368
6331,8223
9608364,9411318
9801269,9605465
204037,108104
9911342,9607309
9903535,9703291
11381,9804454
106152,9703212
211099,5023
104170,9807216
9707412,9703338
9812412,9605218
3101,9906469
103249,9038
301084,9806344
206144,9812448
9712228,9312323
112253,112254
301021,9506451
6185,9912231
9910261,9812282
9903486,9903389
207370,9237
110166,102265
210371,7218
206188,9709363
9911240,9804419
9502325,9303201
9706307,9503271
103169,9303205
202081,9901209
9610215,9409362
7258,9904404
207058,103032
9511421,9311366
2034,9306320
8006,9807472
207028,9902449
203010,9812296
112347,9302257
9904454,9209262
9510450,9208254
202064,102265
10353,10192
5110,9511321
9706481,9310365
9404321,9310350
111132,9405414
9611255,9610208
9607414,9311269
9812267,9602335
1059,9704259
111051,108216
9604406,9306248
203146,102306
206048,9610481
9811361,9407339
1021,9208213
9508285,9310261
9607285,9504379
12259,9812489
9710277,9706297
9907474,9902201
111242,9603212
11323,9902395
207055,9705398
9702284,9404289
9509283,9505328
9803363,9502224
204104,9504241
210094,111078
9812369,9805303
9905374,9401265
9509294,9501377
206288,9811253
9808468,9709506
9807458,9609264
12264,9303303
9608458,9408214
9707485,9604280
9504325,9406210
9612301,9407339
9712293,9411409
9708344,9602280
211151,9605317
106221,9611213
108109,9712537
9712287,9711262
9808350,9502385
5102,9306320
9611307,9604416
105196,9605413
112233,9809549
9502385,9211204
9404231,9203203
209244,112209
9605385,9412319
108111,107062
9804349,9612408
209294,9903408
9609337,9601298
9512435,9402253
9905334,9603449
9904460,9705253
9601202,9908362
210291,9903455
9711335,9707269
9904432,9902273
201126,9908515
9608372,9412367
9709471,9607399
212202,212129
9910382,9804436
104023,9904404
9901201,9602277
9903535,9602299
106248,12012
9701286,9405345
9350,9901219
9904399,9805293
5272,9610247
9805512,9703286
9810387,9408397
11313,9706509
9807325,9807235
9812233,9801271
110183,9902401
9901266,9506207
205095,9908310
9609434,9308208
9505252,9410364
9811386,9512401
108236,9154
9808355,9606251
9704280,9704221
204119,5027
9708469,9406417
203003,8210
9903406,9305274
9904211,9508275
5167,9906525
210104,106347
9910472,9802287
106347,9906257
211071,4169
9705205,9606443
202092,6124
9229,9406260
9407394,9209268
9607414,9605398
212289,9809521
9506286,9402282
9703438,9609281
107219,9304283
9302290,9209299
9504218,9309287
107049,11202
9612385,9308295
8177,9808301
9610451,9410271
103210,7362
302262,9410387
109124,9712495
9911476,9907567
9808218,9412343
7169,9910342
204161,9905221
102016,8334
202022,9408224
7340,9905261
11323,9808493
9812463,9807216
9604225,9405410
9709475,9408301
9808329,9804363
9804451,9311222
203135,105160
301151,112117
2232,9903448
212318,9907491
9706328,9501269
9609434,9607225
9712481,9605349
9910314,9712307
9908391,9804398
204316,12129
9709315,9208242
9909292,9712457
9402226,9308266
5026,9706271
9810436,9804398
9809413,9601349
8120,9809467
3219,3161
9907391,9505397
12077,9810499
9508329,9505359
12108,8168
10092,9906487
107181,9507216
9812397,9803466
9812366,9606427
9805222,9705363
211075,109064
9807353,9806387
9805484,9512203
9336,9511252
1216,9605288
7248,9502323
9609272,9409313
206042,107073
2036,9703401
9911292,9610506
2168,9212278
3154,9807340
9607372,9507212
9712434,9602375
9804455,9705286
9707213,9508343
9904402,9606427
9906245,9902332
210398,110261
9610460,9207234
9609240,9303317
102087,9610423
9806266,9612269
212143,101336
9909369,9811441
9802368,9411426
9507207,9303241
111232,109102
5190,9705437
201301,9611225
9709386,9604202
1186,9901406
9709450,9507378
112157,1203
9911329,9411290
107013,10062
9612204,9406392
302078,205331
206043,9906478
9608349,9606466
9912511,9811428
9403223,9304315
207221,9904266
9610403,9512401
301248,9410283
212141,9905202
9709235,9703316
108117,9605418
9602244,9405273
201248,111042
209351,201304
11132,9812397
110192,9706509
9704391,9304286
9902360,9306320
9901329,9502238
9803378,9708279
10133,9807443
9704376,9408290
302053,9501369
9506380,9307249
9611236,9604425
9710452,9610311
9912291,9810374
209236,107259
9904449,9608389
101327,11071
102039,9908485
12203,9703240
9909313,9906230
112157,107151
207232,106239
9812245,9312358
9310374,9209245
9703211,9612426
101147,5328
203089,9805488
5218,9607247
9811498,9808304
9501357,9310379
112280,3154
9610222,9502363
109079,9804398
9804461,9606264
110183,8237
302203,112242
302259,207156
302155,9610224
9809373,9806406
9912513,9911233
9611254,9610410
9612276,9511455
205309,9901344
9606277,9407260
211378,2150
108075,8316
9610410,9503271
9706421,9605342
9701357,9511242
9503495,9302210
109290,104164
9125,9308217
9901224,9803433
1104,9906551
9901228,9806294
9806526,9708439
9512298,9303249
112225,9503290
9901218,9803457
9702385,9612217
9610476,9512262
9904497,9810368
109109,9305223
9805318,9405214
9805500,9701400
5258,9612269
209331,9906274
9408234,9310314
9908276,9802304
9712381,9703288
302031,9703277
7311,9305319
110093,104062
9806471,9407378
9707217,9209268
9912499,9906501
6162,9702355
210398,102213
105319,102001
210251,107329
9812360,9712328
203155,4172
11361,8186
9906517,9311228
9710403,9505359
9912366,9511239
8127,9602234
203061,9911245
9710560,9709348
9907422,9808468
9609403,9506451
9906290,9409443
9602438,9510378
9910407,9904225
9809424,9601346
209232,9611433
9610382,9609316
107260,9609470
103048,9612313
9610366,9312284
101210,9407247
1178,9408214
1322,9511256
9803357,9508202
9507415,9405277
9405359,9404239
107083,9806540
9812308,9507393
208142,208112
9909240,9807344
9809204,9708348
8269,9712201
9908417,9310248
9807519,9705423
201118,9904421
9903298,9902467
9902263,9811337
9902440,9508347
9511396,9303255
209038,9907461
9910285,9606454
107168,9306294
9812507,9506445
9904259,9301239
11017,9801298
211287,1299
9905533,9602363
9606282,9304267
9610544,9609360
9702312,9308264
9807388,9507444
212115,9405301
101031,9704333
10101,2198
9908480,9903502
9605398,9503479
3154,9711308
12313,9311214
9809581,9510319
201299,110356
9611260,9408298
205199,106050
107073,9808368
102082,9608314
207108,9909480
9410319,9405308
9811502,9605296
203254,10205
9601313,9504434
9610234,9604351
9803446,9302240
9907383,9606353
9808448,9601367
106322,9805471
101356,4063
201313,8023
105195,12035
9806220,9711298
9806519,9511289
9909381,9812311
112209,9905221
9702206,9308276
9709301,9507225
5121,2249
6130,9905316
9912463,9702426
1147,9804385
9711264,9705271
209059,204253
9610205,9604305
301079,107214
9810325,9512380
102138,9512303
9505338,9305219
9912303,9409380
9910487,9902361
104260,103068
9509359,9404302
9410295,9312221
211348,9903358
9608272,9403219
1287,9705344
9909249,9807235
205094,9806337
110166,9910205
9804315,9602368
9611307,9301276
9804393,9410406
9610500,9510372
9907448,9412324
5025,9903390
111382,9704335
3032,9803454
208036,9810504
5273,9911358
209091,109113
9806497,9607238
9409438,9212253
9905407,9708358
9806328,9806218
